"year_month","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2000-01-01,"070118","no2_praries_lag_1","no2_naps",0.998563764605055,0.907146524718761,656.2
2000-01-01,"070119","no2_praries_lag_1","no2_naps",0.868693794956381,0.743035807136687,648.6
2000-01-01,"070203","no2_praries_lag_1","no2_naps",0.990270684127054,0.894712243128313,653.6
2000-01-01,"080110","no2_praries","no2_naps",1,1,580.6
2000-01-01,"080211","no2_praries","no2_naps",1,1,479.8
2000-02-01,"070118","no2_praries_lag_1","no2_naps",0.998979169403644,0.903560810303492,617
2000-02-01,"070119","no2_praries_lag_1","no2_naps",0.950059228223774,0.836247039065054,608.8
2000-02-01,"070203","no2_praries_lag_1","no2_naps",0.986689185917769,0.894571188476703,574.6
2000-02-01,"080110","no2_praries","no2_naps",1,1,627.2
2000-02-01,"080211","no2_praries","no2_naps",1,1,491.4
2000-03-01,"070118","no2_praries_lag_1","no2_naps",0.996629163756379,0.898559014551754,640.4
2000-03-01,"070119","no2_praries_lag_1","no2_naps",0.97861272392797,0.869796264283714,644.2
2000-03-01,"070203","no2_praries_lag_1","no2_naps",0.952279457799843,0.836842633886947,643.8
2000-03-01,"080110","no2_praries","no2_naps",1,1,740.4
2000-03-01,"080211","no2_praries","no2_naps",1,1,692.4
2000-04-01,"070118","no2_praries_lag_1","no2_naps",0.999875443584505,0.86783751687311,634.4
2000-04-01,"070119","no2_praries_lag_1","no2_naps",0.99977333564243,0.861346300546205,629.6
2000-04-01,"070203","no2_praries_lag_1","no2_naps",0.998263419486267,0.784156661904661,384.6
2000-04-01,"080110","no2_praries","no2_naps",1,1,714.6
2000-04-01,"080211","no2_praries","no2_naps",1,1,679.8
2000-05-01,"070118","no2_praries_lag_1","no2_naps",1,0.83901207074991,651
2000-05-01,"070119","no2_praries_lag_1","no2_naps",1,0.837463967106224,584
2000-05-01,"080110","no2_praries","no2_naps",1,1,738.6
2000-05-01,"080211","no2_praries","no2_naps",1,1,634.8
2000-06-01,"070118","no2_praries_lag_1","no2_naps",1,0.871218321570165,636.6
2000-06-01,"070119","no2_praries_lag_1","no2_naps",1,0.838678921222047,614.2
2000-06-01,"070203","no2_praries_lag_1","no2_naps",1,0.764961389466292,617.8
2000-06-01,"080110","no2_praries","no2_naps",1,1,676
2000-06-01,"080211","no2_praries","no2_naps",1,1,399
2000-07-01,"070118","no2_praries_lag_1","no2_naps",1,0.88464278873642,653.8
2000-07-01,"070119","no2_praries_lag_1","no2_naps",1,0.854335565664365,660.2
2000-07-01,"070203","no2_praries_lag_1","no2_naps",1,0.703653253569128,659.2
2000-08-01,"070118","no2_praries_lag_1","no2_naps",1,0.863338836808217,663.4
2000-08-01,"070119","no2_praries_lag_1","no2_naps",1,0.876463840805581,639.4
2000-08-01,"070203","no2_praries_lag_1","no2_naps",1,0.663943365127796,662.2
2000-09-01,"070118","no2_praries_lag_1","no2_naps",1,0.839343855245595,629.6
2000-09-01,"070119","no2_praries_lag_1","no2_naps",1,0.891426565143425,630.8
2000-09-01,"070203","no2_praries_lag_1","no2_naps",1,0.735885507422267,642
2000-10-01,"070118","no2_praries_lag_1","no2_naps",1,0.894785329575996,663.4
2000-10-01,"070119","no2_praries_lag_1","no2_naps",1,0.897380855616373,654
2000-10-01,"070203","no2_praries_lag_1","no2_naps",1,0.743747415217578,654.8
2000-11-01,"070118","no2_praries_lag_1","no2_naps",1,0.939052828282888,634.2
2000-11-01,"070119","no2_praries_lag_1","no2_naps",1,0.915344821419217,627.8
2000-11-01,"070203","no2_praries_lag_1","no2_naps",1,0.85727171450819,601.4
2000-12-01,"070118","no2_praries_lag_1","no2_naps",1,0.92887708346631,651.2
2000-12-01,"070119","no2_praries_lag_1","no2_naps",1,0.897381480160874,625.4
2000-12-01,"070203","no2_praries_lag_1","no2_naps",1,0.842947620310082,657.8
2001-01-01,"070118","no2_praries_lag_1","no2_naps",1,0.903706386686451,656.6
2001-01-01,"070119","no2_praries_lag_1","no2_naps",1,0.907934769316648,663.4
2001-01-01,"070203","no2_praries_lag_1","no2_naps",1,0.887149538747051,660.4
2001-01-01,"080110","no2_praries","no2_naps",1,1,718
2001-02-01,"070118","no2_praries_lag_1","no2_naps",1,0.893862172899387,599.2
2001-02-01,"070119","no2_praries_lag_1","no2_naps",1,0.834841102585877,506
2001-02-01,"070203","no2_praries_lag_1","no2_naps",1,0.806998352379963,599.2
2001-02-01,"080110","no2_praries","no2_naps",1,1,666.6
2001-03-01,"070118","no2_praries_lag_1","no2_naps",1,0.928571229095792,648.6
2001-03-01,"070119","no2_praries_lag_1","no2_naps",1,0.883156092608627,505.4
2001-03-01,"070203","no2_praries_lag_1","no2_naps",1,0.840570316253973,656.4
2001-03-01,"080110","no2_praries","no2_naps",1,1,726
2001-04-01,"070118","no2_praries_lag_1","no2_naps",1,0.878391414325301,612.4
2001-04-01,"070119","no2_praries_lag_1","no2_naps",1,0.872662442167597,586.6
2001-04-01,"070203","no2_praries_lag_1","no2_naps",1,0.774625489531391,640.8
2001-04-01,"080110","no2_praries","no2_naps",1,1,394
2001-05-01,"070118","no2_praries_lag_1","no2_naps",1,0.854550467852186,653.6
2001-05-01,"070119","no2_praries_lag_1","no2_naps",1,0.827722194060167,657
2001-05-01,"070203","no2_praries_lag_1","no2_naps",1,0.692543981053142,658.6
2001-05-01,"080110","no2_praries","no2_naps",1,1,646.2
2001-06-01,"070118","no2_praries_lag_1","no2_naps",1,0.861540422683953,638.2
2001-06-01,"070119","no2_praries_lag_1","no2_naps",1,0.848390327043766,630.6
